titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116,"Action,Adventure,Fantasy"
movie,Stan,Stan,2011,\N,Comedy
movie,Bamboo Shark,Bamboo Shark,2011,\N,Comedy
movie,Cielito lindo,Cielito lindo,2010,91,"Drama,Thriller"
movie,Clutch,Clutch,2012,\N,"Action,Drama"
movie,"Hail, Caesar!","Hail, Caesar!",2016,106,"Comedy,Mystery"
movie,Persona Au Gratin,Persona Au Gratin,2012,93,Comedy
tvSeries,Westworld,Westworld,2016,62,"Drama,Mystery,Sci-Fi"
movie,The Deafening Silence of a Very Bright Light,The Deafening Silence of a Very Bright Light,2010,92,Drama
movie,Stiffs,Stiffs,2010,104,Comedy
movie,Unstoppable,Unstoppable,2010,98,"Action,Thriller"
movie,Sid Bernstein Presents...,Sid Bernstein Presents...,2010,100,Documentary
movie,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,129,"Adventure,Drama,Mystery"
movie,The Tree of Life,The Tree of Life,2011,139,"Drama,Fantasy"
movie,El horror de la dama del lago,El horror de la dama del lago,2010,90,"Fantasy,Horror,Thriller"
movie,Ant-Man,Ant-Man,2015,117,"Action,Adventure,Comedy"
movie,The Greater Meaning of Water,The Greater Meaning of Water,2010,60,"Drama,Sport"
movie,Perfect Life,Perfect Life,2010,98,"Horror,Thriller"
movie,Abhishapt,Abhishapt,2011,\N,Drama
movie,Season of the Witch,Season of the Witch,2011,95,"Action,Adventure,Fantasy"
movie,Atlas Shrugged: Part I,Atlas Shrugged: Part I,2011,97,"Drama,Mystery,Sci-Fi"
movie,The Losers,The Losers,2010,97,"Action,Adventure,Crime"
movie,Hall Pass,Hall Pass,2011,105,"Comedy,Romance"
movie,Felix Austria!,Felix Austria!,2013,77,"Biography,Documentary,History"
movie,The Croods,The Croods,2013,98,"Action,Adventure,Animation"
movie,Bandage,Bandeiji,2010,119,"Drama,Music,Romance"
movie,Barry Munday,Barry Munday,2010,95,"Comedy,Drama,Romance"
movie,Chasing 3000,Chasing 3000,2010,115,"Family,Sport"
movie,Monkey Man,Monkey Man,2011,\N,Comedy
movie,A Woman Is a Woman,A Woman Is a Woman,2010,102,"Comedy,Drama"
movie,Gente mala del norte,Gente mala del norte,2011,97,"Drama,History"
movie,La daga de Rasputín,La daga de Rasputín,2011,99,"Adventure,Comedy"
movie,U Want Me 2 Kill Him?,uwantme2killhim?,2013,92,"Drama,Thriller"
movie,Sushi in Suhl,Sushi in Suhl,2012,100,"Comedy,Drama"
movie,Red Tails,Red Tails,2012,125,"Action,Adventure,Drama"
movie,Making Change,Making Change,2012,94,Drama
tvSeries,NFL Primetime,NFL Primetime,2012,60,"News,Sport,Talk-Show"
tvSeries,Carnival Row,Carnival Row,2019,\N,"Fantasy,Horror,Mystery"
movie,Aftermath,Aftermath,2013,84,"Crime,Thriller"
movie,PrimeMates,PrimeMates,2010,82,"Comedy,Drama"
movie,Silence,Silence,2016,161,"Adventure,Drama,History"
movie,The Invited,The Invited,2010,95,"Horror,Thriller"
movie,Double Tap,Double Tap,2011,100,"Action,Crime,Drama"
movie,Something Borrowed,Something Borrowed,2011,112,"Comedy,Drama,Romance"
movie,Suburbicon,Suburbicon,2017,105,"Crime,Drama,Mystery"
movie,Tulip Fever,Tulip Fever,2017,105,"Drama,History,Romance"
movie,Furry Vengeance,Furry Vengeance,2010,92,"Comedy,Family"
movie,Nina,Nina,2016,90,"Biography,Drama,Music"
tvMovie,"The I Do Diaries: Beg, Borrow & Steal","The I Do Diaries: Beg, Borrow & Steal",2010,60,Reality-TV
movie,CHIPS,CHIPS,2017,100,"Action,Comedy,Crime"
movie,Ramona and Beezus,Ramona and Beezus,2010,103,"Adventure,Comedy,Family"
movie,Good Sharma,Good Sharma,2010,100,Drama
movie,Bad Blood,Bad Blood,2012,107,"Horror,Mystery,Romance"
movie,O Inimigo Sem Rosto,O Inimigo Sem Rosto,2010,85,"Crime,Drama"
movie,Prisoners of the Sun,Prisoners of the Sun,2013,85,"Action,Adventure,Horror"
videoGame,Darkstar: The Interactive Movie,Darkstar: The Interactive Movie,2010,\N,"Action,Adventure,Mystery"
tvSeries,Comentário Geral,Comentário Geral,2010,\N,News
movie,The Hero of Color City,The Hero of Color City,2014,77,"Animation,Family"
movie,Rings,Rings,2017,102,"Drama,Horror,Romance"
tvSeries,The Nine Lives of Chloe King,The Nine Lives of Chloe King,2011,60,"Action,Adventure,Crime"
movie,Tranced,Tranced,2010,\N,"Drama,Fantasy,Romance"
tvEpisode,Episode dated 28 November 2010,Episode dated 28 November 2010,2010,\N,"Drama,Romance"
tvEpisode,Sex and Violence,Sex and Violence,2016,\N,"Drama,Sci-Fi"
tvEpisode,Xô Perereca,Xô Perereca,2010,32,Comedy
tvEpisode,Death Climb,Death Climb,2011,42,"Biography,Documentary,Drama"
tvEpisode,The Ego Show,The Ego Show,2014,\N,"Comedy,Drama"
tvEpisode,Episode #1.16,Episode #1.16,2012,\N,"Comedy,News,Talk-Show"
movie,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116,"Biography,Documentary,Music"
movie,Love & Other Drugs,Love & Other Drugs,2010,112,"Comedy,Drama,Romance"
movie,Syrup,Syrup,2013,90,"Comedy,Drama,Romance"
movie,A Thousand Words,A Thousand Words,2012,91,"Comedy,Drama"
movie,Escape from Planet Earth,Escape from Planet Earth,2013,89,"Adventure,Animation,Comedy"
movie,Have You Seen Me?,Have You Seen Me?,2016,\N,Comedy
movie,Horrorween,Horrorween,2011,\N,"Comedy,Horror"
movie,The Legend of Secret Pass,The Legend of Secret Pass,2010,92,"Animation,Family,Fantasy"
movie,Waste of Space,Waste of Space,2010,78,"Adventure,Comedy,Sci-Fi"
tvEpisode,Episode #5.45,Episode #5.45,2011,\N,Drama
movie,Me and My Umbrella,Eu e Meu Guarda-Chuva,2010,78,"Family,Fantasy"
movie,Night of the Templar,Night of the Templar,2013,101,"Horror,Mystery"
movie,What's Your Number?,What's Your Number?,2011,106,"Comedy,Romance"
movie,California Indian,California Indian,2011,90,Drama
movie,King of the Avenue,King of the Avenue,2010,83,"Drama,Fantasy,Thriller"
movie,Samsara,Samsara,2011,102,"Documentary,Music"
movie,Till You Get to Baraboo,Till You Get to Baraboo,2011,80,"Comedy,Romance"
movie,Man of Steel,Man of Steel,2013,143,"Action,Adventure,Fantasy"
movie,Jersey Justice,Jersey Justice,2014,100,"Action,Thriller"
movie,Kill,Kill,2011,90,"Comedy,Horror,Thriller"
movie,The Chosen Heaven,El cielo elegido,2010,123,"Drama,Thriller"
movie,Cell,Cell,2016,98,"Action,Drama,Horror"
movie,The Rain Fairy,Destová víla,2010,100,"Family,Fantasy"
movie,The Illusionist,L'illusionniste,2010,80,"Animation,Drama"
movie,Night Catches Us,Night Catches Us,2010,90,"Drama,Romance"
movie,Drive,Drive,2011,100,"Crime,Drama"
tvSeries,The Being Experience: The Prologue,In the Woods,2013,100,Mystery
movie,Kid Cannabis,Kid Cannabis,2014,110,"Biography,Comedy,Crime"
movie,Santorini Blue,Santorini Blue,2013,90,"Comedy,Drama"
movie,War of the Dead,War of the Dead,2011,86,"Action,Adventure,Horror"
movie,The Wolfman,The Wolfman,2010,103,"Drama,Fantasy,Horror"
movie,Escalade,Escalade,2011,80,Thriller
movie,Irreversi,Irreversi,2010,\N,Thriller
movie,The Last Full Measure,The Last Full Measure,2018,\N,"Drama,War"
tvEpisode,I Called Him Magoo,I Called Him Magoo,2010,22,"Comedy,Romance"
movie,The Attack,The Attack,2012,102,Drama
movie,The Boxtrolls,The Boxtrolls,2014,96,"Adventure,Animation,Comedy"
